Unnamed: 0,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
25086,47900,2022-02-16,51,Moderate,PM2.5,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25087,47900,2022-02-17,39,Good,Ozone,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25088,47900,2022-02-18,38,Good,Ozone,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25089,47900,2022-02-19,40,Good,Ozone,7,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25090,47900,2022-02-20,39,Good,Ozone,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25091,47900,2022-02-21,48,Good,NO2,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25092,47900,2022-02-22,34,Good,Ozone,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25093,47900,2022-02-23,35,Good,Ozone,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25094,47900,2022-02-24,36,Good,PM2.5,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25095,47900,2022-02-25,30,Good,Ozone,7,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25096,47900,2022-02-26,44,Good,PM2.5,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25097,47900,2022-02-27,46,Good,Ozone,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25098,47900,2022-02-28,47,Good,Ozone,8,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25099,47900,2022-03-01,44,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25100,47900,2022-03-02,49,Good,NO2,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25101,47900,2022-03-03,43,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25102,47900,2022-03-04,41,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25103,47900,2022-03-05,44,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25104,47900,2022-03-06,53,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25105,47900,2022-03-07,35,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25106,47900,2022-03-08,43,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25107,47900,2022-03-09,40,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25108,47900,2022-03-10,41,Good,PM2.5,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25109,47900,2022-03-11,44,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25110,47900,2022-03-12,43,Good,Ozone,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25111,47900,2022-03-13,41,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25112,47900,2022-03-14,48,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25113,47900,2022-03-15,58,Moderate,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25114,47900,2022-03-16,61,Moderate,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25115,47900,2022-03-17,57,Moderate,PM2.5,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25116,47900,2022-03-18,48,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25117,47900,2022-03-19,41,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25118,47900,2022-03-20,39,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25119,47900,2022-03-21,49,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25120,47900,2022-03-22,51,Moderate,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25121,47900,2022-03-23,40,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25122,47900,2022-03-24,46,Good,PM2.5,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25123,47900,2022-03-25,44,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25124,47900,2022-03-26,39,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25125,47900,2022-03-27,36,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25126,47900,2022-03-28,41,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25127,47900,2022-03-29,43,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25128,47900,2022-03-30,47,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25129,47900,2022-03-31,43,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25130,47900,2022-04-01,2,Good,CO,3,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25131,47900,2022-04-05,6,Good,PM10,2,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25132,47900,2022-04-11,4,Good,PM10,1,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25133,47900,2022-04-17,4,Good,PM10,1,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25134,47900,2022-04-23,9,Good,PM10,2,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25135,47900,2022-04-29,6,Good,PM10,2,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
25136,47900,2022-05-05,6,Good,PM10,2,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188245,47900,2021-01-01,52,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188246,47900,2021-01-02,24,Good,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188247,47900,2021-01-03,30,Good,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188248,47900,2021-01-04,32,Good,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188249,47900,2021-01-05,38,Good,PM2.5,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188250,47900,2021-01-06,30,Good,Ozone,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188251,47900,2021-01-07,32,Good,NO2,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188252,47900,2021-01-08,32,Good,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188253,47900,2021-01-09,36,Good,Ozone,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188254,47900,2021-01-10,45,Good,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188255,47900,2021-01-11,82,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188256,47900,2021-01-12,71,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188257,47900,2021-01-13,70,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188258,47900,2021-01-14,68,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188259,47900,2021-01-15,67,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188260,47900,2021-01-16,31,Good,Ozone,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188261,47900,2021-01-17,24,Good,NO2,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188262,47900,2021-01-18,31,Good,NO2,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188263,47900,2021-01-19,44,Good,NO2,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188264,47900,2021-01-20,51,Moderate,NO2,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188265,47900,2021-01-21,47,Good,NO2,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188266,47900,2021-01-22,39,Good,NO2,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188267,47900,2021-01-23,33,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188268,47900,2021-01-24,38,Good,PM2.5,12,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188269,47900,2021-01-25,54,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188270,47900,2021-01-26,43,Good,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188271,47900,2021-01-27,45,Good,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188272,47900,2021-01-28,33,Good,Ozone,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188273,47900,2021-01-29,35,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188274,47900,2021-01-30,46,Good,NO2,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188275,47900,2021-01-31,44,Good,NO2,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188276,47900,2021-02-01,35,Good,Ozone,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188277,47900,2021-02-02,37,Good,Ozone,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188278,47900,2021-02-03,38,Good,Ozone,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188279,47900,2021-02-04,53,Moderate,NO2,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188280,47900,2021-02-05,36,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188281,47900,2021-02-06,39,Good,NO2,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188282,47900,2021-02-07,35,Good,Ozone,13,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188283,47900,2021-02-08,48,Good,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188284,47900,2021-02-09,54,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188285,47900,2021-02-10,68,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188286,47900,2021-02-11,70,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188287,47900,2021-02-12,63,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
188288,47900,2021-02-13,60,Moderate,PM2.5,14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973.0,4434.0,America/New_York
